chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.1578871104107319	1.037174556829537e-71	0.15650762056814485	1.763156521984341e-70	1.0
chr11_hap1	0.21193326364600482	6.136434346956035e-129	0.20861852308882722	6.561210710987654e-125	0.9254
chr12_hap1	0.17672695417546025	6.375224047401695e-91	0.18349734175728044	5.4261474209507937e-98	1.0
chr13_hap1	0.24102981942775215	2.447140681794458e-125	0.2323209809412585	2.4527232457054736e-116	0.28855
chr14_hap1	0.2897398889798381	8.62848466987859e-166	0.28420481925268426	2.518290436466302e-159	1.0
chr15_hap1	0.28848278695693597	7.513309377470616e-147	0.31334865540671963	2.7949629899329186e-174	1.0
chr16_hap1	0.31202569714626344	1.2896455742341986e-161	0.3404871214723117	5.340561601610762e-194	1.0
chr17_hap1	0.21222639711145064	1.1451246163577861e-77	0.2615126119981158	2.370130214528115e-118	0.988
chr18_hap1	0.30218709498859636	1.9904621837211907e-154	0.2996819214874674	8.659936790714362e-152	1.0
chr19_hap1	0.22608657115278982	6.957801184218931e-63	0.24984116166097958	7.957493889171384e-77	0.7017
chr1_hap1	0.18970913112551638	2.0121404053352642e-175	0.1913515923930937	1.7055987323841652e-178	0.9210499999999999
chr20_hap1	0.18028049923017744	2.381639573297869e-44	0.1531119345308447	2.5103034563252084e-32	0.92915
chr21_hap1	0.33260069867536857	2.1176793254063503e-85	0.3220888389185248	6.553392529353612e-80	1.0
chr22_hap1	0.27417212692956205	1.1288814901724232e-59	0.3295938750659807	6.153444173285531e-87	1.0
chr2_hap1	0.23360403445914843	1.706221082507556e-284	0.2297778073800896	4.554637912021571e-275	1.0
chr3_hap1	0.23482938723966484	6.863663277784859e-241	0.23484025638516776	6.513497082383761e-241	1.0
chr4_hap1	0.33060495578041804	0.0	0.320173885753002	0.0	1.0
chr5_hap1	0.2667534601825993	1.9312328307989606e-280	0.2542828423948528	3.690531401351721e-254	0.93045
chr6_hap1	0.22761121014304556	3.694100585169029e-195	0.217442425016345	7.084987704107946e-178	0.7755000000000001
chr7_hap1	0.10576672889303268	3.650176545598721e-38	0.1091291697640606	1.5659894078917246e-40	1.0
chr8_hap1	0.2196557608068782	9.294009707324457e-153	0.21929640866274763	2.9738999514509483e-152	1.0
chr9_hap1	0.298070360864506	4.573361721917061e-221	0.2906005793633074	9.776018109157312e-210	1.0
chrX_hap1	0.01108502593678498	0.17950909358355932	0.005204605748320663	0.5285622377333369	0.0
