track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta	flip_recommended
coding_cov	chr10_hap1	-0.1648811321660445	6.309305568739714e-40	-0.16180293333330797	1.7052678450761698e-38	-0.88595	True
coding_cov	chr11_hap1	-0.21102182783243612	8.770081982349702e-65	-0.21288523018577465	6.312776436955734e-66	-0.7686	True
coding_cov	chr12_hap1	-0.18014692722797773	3.293731592172653e-48	-0.19065465653045363	6.917886256008166e-54	-0.85785	True
coding_cov	chr13_hap1	-0.2648346331881863	7.173321581221238e-77	-0.24541760019805695	6.140474621072412e-66	-0.395725	True
coding_cov	chr14_hap1	-0.3150739604236973	1.395322298483658e-99	-0.3065204273222757	4.3832069301690375e-94	-0.8887	True
coding_cov	chr15_hap1	-0.290105951321951	2.9669528009930584e-75	-0.32865777209655217	2.830389102857415e-97	-0.9241	True
coding_cov	chr16_hap1	-0.3129412937304256	3.048191522456179e-82	-0.3558043690554246	2.0795569084748193e-107	-0.98815	True
coding_cov	chr17_hap1	-0.2106155720289437	4.5022751849088e-39	-0.2777707378618943	8.963882225977467e-68	-0.83995	True
coding_cov	chr18_hap1	-0.3146435020641201	4.057872739146942e-85	-0.30893226292886755	5.72092209391041e-82	-0.7476750000000001	True
coding_cov	chr19_hap1	-0.23723295288169416	2.1910589172990252e-35	-0.2655305584234885	3.2728824770078083e-44	-0.4682	True
coding_cov	chr1_hap1	-0.19557022418973827	2.63828590378929e-94	-0.19902663005786383	1.1474279924070414e-97	-0.7847	True
coding_cov	chr20_hap1	-0.19438774188115196	1.5543105405733244e-26	-0.16323659997449358	4.38888259837864e-19	-0.78855	True
coding_cov	chr21_hap1	-0.25971681099458666	1.2103478658847173e-26	-0.19654225277022713	1.0203504331330325e-15	-0.63435	True
coding_cov	chr22_hap1	-0.31291084339590164	9.440981895810259e-40	-0.36505248019238234	1.7321686279810788e-54	-1.0	True
coding_cov	chr2_hap1	-0.24452816836099822	2.231097667138233e-157	-0.23847242595797874	1.4949422639099632e-149	-0.823075	True
coding_cov	chr3_hap1	-0.2431228870620317	1.4077009134223052e-130	-0.24178831251418387	3.977283878785478e-129	-0.98525	True
coding_cov	chr4_hap1	-0.3558633343647342	3.67092298000989e-276	-0.33800379174926126	1.193262479216565e-247	-1.0	True
coding_cov	chr5_hap1	-0.2807780354662573	3.505758612594349e-157	-0.26512806151090224	9.731708828844407e-140	-0.7814	True
coding_cov	chr6_hap1	-0.23902875813658253	5.767382409142038e-109	-0.22361061001607474	2.9632105090576478e-95	-0.6639	True
coding_cov	chr7_hap1	-0.10625635687540008	4.197321808122713e-20	-0.11286957044323959	1.7053148066237005e-22	-0.88445	True
coding_cov	chr8_hap1	-0.22252973974358703	2.3212033553298403e-79	-0.22152151879748455	1.213652098223853e-78	-1.0	True
coding_cov	chr9_hap1	-0.3117916793539084	1.575237818832965e-122	-0.30560197636548203	1.5016041399953802e-117	-0.90245	True
coding_cov	chrX_hap1	0.012922782500135038	0.26809766575748206	0.0009390193728416353	0.9358646052539159	0.0	False
