chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.16488123428218238	6.308608769302208e-40	0.16180293157131964	1.7052710315653943e-38	0.88595
chr11_hap1	0.21102153288227873	8.773718077886473e-65	0.21288522201342513	6.312849637472579e-66	0.7686
chr12_hap1	0.18014681980923755	3.2941585932096415e-48	0.19065464865371323	6.917956096969126e-54	0.85785
chr13_hap1	0.2648341622494397	7.177892433060249e-77	0.24541759444433964	6.140518460649807e-66	0.395725
chr14_hap1	0.3150732389451534	1.3968376881797839e-99	0.3065204314632368	4.383180516361931e-94	0.8887
chr15_hap1	0.290106046392193	2.9666093771572036e-75	0.3286577657061229	2.830414702502918e-97	0.9241
chr16_hap1	0.3129412937508356	3.048191444970317e-82	0.3558043820255925	2.0795174858674082e-107	0.98815
chr17_hap1	0.21061527431960522	4.503395000733518e-39	0.27777073482452347	8.963913210587727e-68	0.83995
chr18_hap1	0.3146435021405665	4.057872340919169e-85	0.3089322642206093	5.720912815095259e-82	0.7476750000000001
chr19_hap1	0.23723277612827545	2.1913196028548962e-35	0.2655305542169456	3.272892994045288e-44	0.4682
chr1_hap1	0.19557024212575363	2.6381809339127475e-94	0.19902662639124008	1.1474375030158446e-97	0.7847
chr20_hap1	0.19438818439646155	1.553897071422795e-26	0.16323660306183624	4.388875811500738e-19	0.78855
chr21_hap1	0.2597156141705183	1.2110131378796831e-26	0.19654230619908208	1.0203319415997531e-15	0.63435
chr22_hap1	0.31290944972802703	9.448739830460083e-40	0.36505250436078995	1.7321387161513226e-54	1.0
chr2_hap1	0.24452810707719325	2.2315103045167105e-157	0.2384724173899888	1.4949798446474766e-149	0.823075
chr3_hap1	0.24312309047326605	1.4069820001908484e-130	0.24178833348481174	3.9770757137878036e-129	0.98525
chr4_hap1	0.35586353049005703	3.668190225324691e-276	0.3380037771091782	1.1933246094914032e-247	1.0
chr5_hap1	0.280777979404669	3.5062798765443194e-157	0.26512805615505647	9.731838176277965e-140	0.7814
chr6_hap1	0.2390289054149427	5.765578936223196e-109	0.22361061680579572	2.963170829337776e-95	0.6639
chr7_hap1	0.10625641855215884	4.197112801843418e-20	0.11286957593178859	1.7053067780656866e-22	0.88445
chr8_hap1	0.2225296274280797	2.3216321894453834e-79	0.22152151933703015	1.2136510265734308e-78	1.0
chr9_hap1	0.31179175877154514	1.5750033038857927e-122	0.305601973489289	1.5016120432307517e-117	0.90245
chrX_hap1	0.01292297420916213	0.2680905656746272	0.0009390269468377288	0.9358640890623608	0.0
