chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.1945104904116456	8.00703146625329e-07	0.18762898837940822	1.9613315077481107e-06	0.615535
chr11_hap1	0.2571451339760152	4.767666649171611e-11	0.2612170266916901	2.2948358282559793e-11	0.61296
chr12_hap1	0.2118722450175813	5.1832519156520234e-08	0.2315649479095277	2.4529894728354173e-09	0.48782999999999993
chr13_hap1	0.3756076270583353	2.311177581860641e-17	0.29909593449374977	2.8445746200691516e-11	0.540135
chr14_hap1	0.37473648860382014	1.1035373807194418e-15	0.3725497342534433	1.6616141611787783e-15	0.6511175
chr15_hap1	0.3410906373068232	6.452946507164438e-12	0.41006321976773946	5.2572936887750345e-17	0.71606
chr16_hap1	0.3544954181866529	4.2385783575677354e-12	0.43404657808919767	5.684269780699167e-18	0.703785
chr17_hap1	0.26984416343992695	9.921575319794081e-08	0.37303920494643383	6.324823403016229e-14	0.4025175
chr18_hap1	0.4113019562845143	1.8660397852103792e-16	0.38016372386531466	4.238346320350438e-14	0.61052
chr19_hap1	0.4037128139580145	8.258817457296508e-12	0.4091865334636925	4.044906456455101e-12	0.255715
chr1_hap1	0.24385092837105654	3.4177299260468e-16	0.2537941788406999	1.8746398625590837e-17	0.49401000000000006
chr20_hap1	0.2191482280532778	0.00016018093650292946	0.18903436863061598	0.0011717162597367995	0.39076
chr21_hap1	0.41174708054249487	4.312710689650848e-08	0.2607403595014458	0.000746004066292072	0.68412
chr22_hap1	0.4411566291041944	2.160885090665455e-09	0.5201097749325432	4.9982898033868e-13	0.72718
chr2_hap1	0.29939571651186786	1.7967163163483984e-25	0.2873268759269373	1.6673349410205738e-23	0.619075
chr3_hap1	0.2710085969906718	8.628680928220344e-18	0.29222911732543644	1.4958529356578025e-20	0.6749425
chr4_hap1	0.4528080359491504	2.640422547861124e-48	0.40461289026294356	5.055562473227252e-38	0.640435
chr5_hap1	0.34917492729413135	2.3939193274174485e-26	0.32334117418749575	1.2728077923730692e-22	0.61454
chr6_hap1	0.31041662008348186	4.1419280034935356e-20	0.27446401708283946	6.764375154164423e-16	0.55736
chr7_hap1	0.12133580982936272	0.0009269130615164368	0.1432625625373947	9.000635052058659e-05	0.40110999999999997
chr8_hap1	0.2688515509782188	5.060776518312461e-13	0.2618738389528818	2.0763758305286273e-12	0.7355849999999999
chr9_hap1	0.4089758608265964	3.1437756110054675e-23	0.39084752434281	3.444171069066477e-21	0.630665
chrX_hap1	0.05934812480682062	0.10887653261749927	0.003495372526220057	0.924836703164144	0.09493
