chrom	start	end	weight	E1	E2	E3
chr1_hap2	0	100000	0.0024455152128811455	0.30196611633974335	-0.7932982582952774	0.8899716364658425
chr1_hap2	100000	200000				
chr1_hap2	200000	300000	0.011799999614348246	-0.9588125259341189	-0.4158865646828363	0.08430455097107183
chr1_hap2	300000	400000	0.008881791232759036	-1.0061075090322145	-0.5013754682513298	0.13866145041497838
chr1_hap2	400000	500000	0.007391328950730362	-0.877046303976345	-0.4820121647092169	0.16258934320837434
chr1_hap2	500000	600000	0.00837172789254732	-0.8470169142007481	-0.3717404288976295	0.27854006090311434
chr1_hap2	600000	700000	0.007652030131610328	-0.982340094589054	-0.5015607892606095	0.14203249929002387
chr1_hap2	700000	800000	0.007562501203673096	-0.9375639650335978	-0.4781201094448853	0.2790479299967135
chr1_hap2	800000	900000	0.0074161776467767965	-0.9615145802511235	-0.4643305368995601	0.14196633790277038
chr1_hap2	900000	1000000	0.008203061935030967	-0.9302951508624927	-0.5124262103600254	0.19209517417483243
chr1_hap2	1000000	1100000	0.007580347013005112	-0.8900795928386623	-0.4255256221953332	0.2191579582497097
chr1_hap2	1100000	1200000	0.009573040038754659	-0.8171231074762023	-0.3842785007594126	0.2231409627907441
chr1_hap2	1200000	1300000	0.006904751730726083	-0.9793067527636911	-0.4486346790975408	0.1632120079746097
chr1_hap2	1300000	1400000	0.006795281811484986	-0.9251054841736922	-0.3860206147432468	0.17595015951496257
chr1_hap2	1400000	1500000	0.0066538082187083975	-0.8939759711886569	-0.42770302485979894	0.15288957948676546
chr1_hap2	1500000	1600000	0.006833528197585764	-0.8585603686650857	-0.39805119263302	0.20771418452523258
chr1_hap2	1600000	1700000	0.006465941564970201	-0.8150465194711736	-0.46619171517094826	0.28140550638622513
chr1_hap2	1700000	1800000	0.007550616827394388	-0.8683546071171282	-0.43617677731198823	0.15394725450821461
chr1_hap2	1800000	1900000	0.007221331692821838	-0.7748163485569132	-0.5372341595013828	0.36305470628693143
chr1_hap2	1900000	2000000	0.007949124235866972	-0.7862094012040891	-0.45631911237784256	0.33852984497801464
chr1_hap2	2000000	2100000	0.0073983533262070925	-0.6926439255016182	-0.47190856503575596	0.38068752356799307
chr1_hap2	2100000	2200000				
chr1_hap2	2200000	2300000				
chr1_hap2	2300000	2400000				
chr1_hap2	2400000	2500000	0.01121971679238415	-0.5084977030862046	-0.5398110844603371	0.38684346980893525
chr1_hap2	2500000	2600000	0.009627671038291208	-0.5602411923124846	-0.5223658549003072	0.39835581960532634
chr1_hap2	2600000	2700000	0.008302904725108655	-0.5595220506677789	-0.4632232518387187	0.35134601042162245
chr1_hap2	2700000	2800000	0.007196298544628732	-0.6097100138254441	-0.4727636217744556	0.30113825206705136
chr1_hap2	2800000	2900000	0.007894191362969488	-0.6683148262851983	-0.5063540527330369	0.25652659506424086
chr1_hap2	2900000	3000000	0.007400547944040983	-0.5900891510131231	-0.4524157698538717	0.3733042198780511
chr1_hap2	3000000	3100000	0.006975502596693234	-0.5908144282875338	-0.517698914510253	0.3613310125517378
chr1_hap2	3100000	3200000	0.008074195872983678	-0.7165115083903839	-0.5029610418269621	0.3383408525884059
chr1_hap2	3200000	3300000	0.007497261190466342	-0.7844489496934228	-0.45119885876363347	0.13825894949398435
chr1_hap2	3300000	3400000	0.006889600247569609	-0.7971631771975324	-0.493212333794519	0.18720945612701087
chr1_hap2	3400000	3500000	0.006323860526147517	-0.716292670133292	-0.403362957863361	0.19333417206307824
chr1_hap2	3500000	3600000	0.006329488354319779	-0.5272565347882908	-0.4702913663553562	0.2362634834377389
chr1_hap2	3600000	3700000	0.006808685011441616	-0.5450068500228331	-0.4565739902529865	0.16503854792457318
chr1_hap2	3700000	3800000	0.007703244193323908	-0.5162101873870085	-0.439803900811989	0.26672592881347207
chr1_hap2	3800000	3900000	0.007364963850982126	-0.41828774166374477	-0.46914349830706736	0.301710201311838
chr1_hap2	3900000	4000000	0.008121218994555528	-0.4567361387945341	-0.5451832257595258	0.1842954547732773
chr1_hap2	4000000	4100000	0.007672733072601901	-0.4783867598427173	-0.48931255098392634	0.2752220978214377
chr1_hap2	4100000	4200000	0.007829378244950195	-0.4687423553254961	-0.5644011095419271	0.228606473932877
chr1_hap2	4200000	4300000	0.007307876889052693	-0.4229081935303297	-0.5716951049832705	0.2495463691838767
chr1_hap2	4300000	4400000	0.00742347460690072	-0.4296475064807607	-0.49137946894246765	0.24668138078452453
chr1_hap2	4400000	4500000	0.007084638772262804	-0.39426463881007884	-0.5219214722338171	0.2909029392177026
chr1_hap2	4500000	4600000	0.007712158829239551	-0.39037646202149884	-0.4842716194588959	0.23700445875676435
chr1_hap2	4600000	4700000	0.00758395401236137	-0.40668588095916863	-0.4974775593633093	0.13911365752740143
chr1_hap2	4700000	4800000	0.007843163629377384	-0.38151559623929404	-0.49845799166474297	0.22814384154455977
chr1_hap2	4800000	4900000	0.007960751056517936	-0.3542817954472967	-0.502794546179368	0.23280966815622006
chr1_hap2	4900000	5000000	0.00744270846734835	-0.34448868959249884	-0.5422067537110831	0.1692956260187694
chr1_hap2	5000000	5100000	0.00727051705432381	-0.4085848076120057	-0.4888072342472152	0.2624018727658672
chr1_hap2	5100000	5200000	0.00740096217974672	-0.35630102262561814	-0.48467760479388156	0.3587340623798144
chr1_hap2	5200000	5300000	0.007273452266042	-0.43364164237185937	-0.49302807717717373	0.1535327927330931
chr1_hap2	5300000	5400000	0.007394062627463555	-0.46868346132363975	-0.41917066983837975	0.061333518627911546
chr1_hap2	5400000	5500000	0.00705163931342551	-0.5354496970345821	-0.4004508305372339	0.10042102255687929
chr1_hap2	5500000	5600000	0.006703508445123253	-0.5438897138191452	-0.47156883804498545	0.1707436856263714
chr1_hap2	5600000	5700000	0.006974092503786566	-0.5981546678836246	-0.4316988094559527	0.0967351578802849
chr1_hap2	5700000	5800000	0.006710451869514626	-0.7480679118968487	-0.4352421348979023	-0.04933391410412681
chr1_hap2	5800000	5900000	0.006291960666365009	-0.7863607433367514	-0.4199103834153435	0.03679831945508718
chr1_hap2	5900000	6000000	0.006675771976650515	-0.795813930745163	-0.43039122315097894	-0.028547746138183457
chr1_hap2	6000000	6100000	0.006125513509508442	-0.762326636857101	-0.4424022350974551	-0.08963681167622704
chr1_hap2	6100000	6200000	0.006487344831282112	-0.7908237189954703	-0.4236451971037631	-0.09157219801172618
chr1_hap2	6200000	6300000	0.006011563961891613	-0.791109006663231	-0.4768943473156703	-0.10535191958651882
chr1_hap2	6300000	6400000	0.006412481954239982	-0.6957928363752987	-0.4705816922005213	-0.0046685851301577685
chr1_hap2	6400000	6500000	0.006549820400339779	-0.6429920346154313	-0.50526721288361	-0.0731318276128579
chr1_hap2	6500000	6600000	0.007345411211729509	-0.7160488030685616	-0.4566588479967029	-0.18794912392857846
chr1_hap2	6600000	6700000	0.00693128036668536	-0.6167559453884078	-0.5021236097152939	-0.06278263841658152
chr1_hap2	6700000	6800000	0.007371822239086684	-0.5567655752663703	-0.5191242099114558	-0.0687274132811777
