chrom	start	end	value.d
chr1_hap1	0	5000	-1
chr1_hap1	5000	10000	-1
chr1_hap1	10000	15000	-1
chr1_hap1	15000	20000	-1
chr1_hap1	20000	25000	-1
chr1_hap1	25000	30000	-1
chr1_hap1	30000	35000	-1
chr1_hap1	35000	40000	-1
chr1_hap1	40000	45000	-1
chr1_hap1	45000	50000	-1
chr1_hap1	50000	55000	-1
chr1_hap1	55000	60000	-1
chr1_hap1	60000	65000	-1
chr1_hap1	65000	70000	-1
chr1_hap1	70000	75000	-1
chr1_hap1	75000	80000	-1
chr1_hap1	80000	85000	-1
chr1_hap1	85000	90000	-1
chr1_hap1	90000	95000	-1
chr1_hap1	95000	100000	-1
chr1_hap1	100000	105000	-1
chr1_hap1	105000	110000	-1
chr1_hap1	110000	115000	-1
chr1_hap1	115000	120000	-1
chr1_hap1	120000	125000	-1
chr1_hap1	125000	130000	-1
chr1_hap1	130000	135000	-1
chr1_hap1	135000	140000	-1
chr1_hap1	140000	145000	-1
chr1_hap1	145000	150000	-1
chr1_hap1	150000	155000	-1
chr1_hap1	155000	160000	-1
chr1_hap1	160000	165000	-1
chr1_hap1	165000	170000	-1
chr1_hap1	170000	175000	-1
chr1_hap1	175000	180000	-1
chr1_hap1	180000	185000	-1
chr1_hap1	185000	190000	-1
chr1_hap1	190000	195000	-1
chr1_hap1	195000	200000	-1
chr1_hap1	200000	205000	1
chr1_hap1	205000	210000	-1
chr1_hap1	210000	215000	2
chr1_hap1	215000	220000	0
chr1_hap1	220000	225000	-1
chr1_hap1	225000	230000	-1
chr1_hap1	230000	235000	-1
chr1_hap1	235000	240000	-1
chr1_hap1	240000	245000	-1
chr1_hap1	245000	250000	0
chr1_hap1	250000	255000	8
chr1_hap1	255000	260000	6
chr1_hap1	260000	265000	2
chr1_hap1	265000	270000	0
chr1_hap1	270000	275000	2
chr1_hap1	275000	280000	6
chr1_hap1	280000	285000	1
chr1_hap1	285000	290000	1
chr1_hap1	290000	295000	6
chr1_hap1	295000	300000	2
chr1_hap1	300000	305000	-1
chr1_hap1	305000	310000	-1
chr1_hap1	310000	315000	1
chr1_hap1	315000	320000	0
chr1_hap1	320000	325000	7
chr1_hap1	325000	330000	0
chr1_hap1	330000	335000	0
chr1_hap1	335000	340000	0
chr1_hap1	340000	345000	1
chr1_hap1	345000	350000	1
chr1_hap1	350000	355000	1
chr1_hap1	355000	360000	0
chr1_hap1	360000	365000	4
chr1_hap1	365000	370000	0
chr1_hap1	370000	375000	3
chr1_hap1	375000	380000	0
chr1_hap1	380000	385000	2
chr1_hap1	385000	390000	1
chr1_hap1	390000	395000	1
chr1_hap1	395000	400000	2
chr1_hap1	400000	405000	4
chr1_hap1	405000	410000	8
chr1_hap1	410000	415000	3
chr1_hap1	415000	420000	1
chr1_hap1	420000	425000	1
chr1_hap1	425000	430000	4
chr1_hap1	430000	435000	2
chr1_hap1	435000	440000	1
chr1_hap1	440000	445000	0
chr1_hap1	445000	450000	2
chr1_hap1	450000	455000	3
chr1_hap1	455000	460000	2
chr1_hap1	460000	465000	1
chr1_hap1	465000	470000	0
chr1_hap1	470000	475000	2
chr1_hap1	475000	480000	3
chr1_hap1	480000	485000	8
chr1_hap1	485000	490000	3
chr1_hap1	490000	495000	3
chr1_hap1	495000	500000	5
chr1_hap1	500000	505000	2
chr1_hap1	505000	510000	1
chr1_hap1	510000	515000	2
chr1_hap1	515000	520000	2
chr1_hap1	520000	525000	8
chr1_hap1	525000	530000	3
chr1_hap1	530000	535000	-1
chr1_hap1	535000	540000	3
chr1_hap1	540000	545000	2
chr1_hap1	545000	550000	0
chr1_hap1	550000	555000	0
chr1_hap1	555000	560000	5
chr1_hap1	560000	565000	6
chr1_hap1	565000	570000	4
chr1_hap1	570000	575000	2
chr1_hap1	575000	580000	0
chr1_hap1	580000	585000	4
chr1_hap1	585000	590000	3
chr1_hap1	590000	595000	2
chr1_hap1	595000	600000	0
chr1_hap1	600000	605000	1
chr1_hap1	605000	610000	6
chr1_hap1	610000	615000	1
chr1_hap1	615000	620000	2
chr1_hap1	620000	625000	2
chr1_hap1	625000	630000	2
chr1_hap1	630000	635000	1
chr1_hap1	635000	640000	0
chr1_hap1	640000	645000	0
chr1_hap1	645000	650000	1
chr1_hap1	650000	655000	9
chr1_hap1	655000	660000	1
chr1_hap1	660000	665000	1
chr1_hap1	665000	670000	0
chr1_hap1	670000	675000	2
chr1_hap1	675000	680000	0
chr1_hap1	680000	685000	1
chr1_hap1	685000	690000	2
chr1_hap1	690000	695000	0
chr1_hap1	695000	700000	3
chr1_hap1	700000	705000	3
chr1_hap1	705000	710000	1
chr1_hap1	710000	715000	3
chr1_hap1	715000	720000	0
chr1_hap1	720000	725000	3
chr1_hap1	725000	730000	0
chr1_hap1	730000	735000	6
chr1_hap1	735000	740000	1
chr1_hap1	740000	745000	0
chr1_hap1	745000	750000	0
chr1_hap1	750000	755000	3
chr1_hap1	755000	760000	1
chr1_hap1	760000	765000	1
chr1_hap1	765000	770000	1
chr1_hap1	770000	775000	1
chr1_hap1	775000	780000	0
chr1_hap1	780000	785000	2
chr1_hap1	785000	790000	0
chr1_hap1	790000	795000	0
chr1_hap1	795000	800000	0
chr1_hap1	800000	805000	2
chr1_hap1	805000	810000	3
chr1_hap1	810000	815000	4
chr1_hap1	815000	820000	1
chr1_hap1	820000	825000	0
chr1_hap1	825000	830000	1
chr1_hap1	830000	835000	0
chr1_hap1	835000	840000	1
chr1_hap1	840000	845000	2
chr1_hap1	845000	850000	1
chr1_hap1	850000	855000	0
chr1_hap1	855000	860000	0
chr1_hap1	860000	865000	1
chr1_hap1	865000	870000	10
chr1_hap1	870000	875000	0
chr1_hap1	875000	880000	0
chr1_hap1	880000	885000	1
