track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta	flip_recommended
coding_cov	chr10_hap1	-0.1754451551845931	6.442345053133242e-19	-0.17224720007568392	2.789272740746825e-18	-0.75678	True
coding_cov	chr11_hap1	-0.21586422936409708	4.130056176902001e-28	-0.22590861955467284	1.0729038460405243e-30	-0.69324	True
coding_cov	chr12_hap1	-0.17843392983800638	6.489547988083994e-20	-0.20223080406031216	3.1072744371051574e-25	-0.73754	True
coding_cov	chr13_hap1	-0.3138840195705923	1.4936008965753285e-44	-0.2632066812467133	2.2888038072006824e-31	-0.42194	True
coding_cov	chr14_hap1	-0.34125942846908885	7.172710621174796e-48	-0.3278814003481444	4.0690951779026377e-44	-0.74287	True
coding_cov	chr15_hap1	-0.3020194621058522	1.1752275929843165e-33	-0.35831013406798873	1.3529824451372326e-47	-0.77616	True
coding_cov	chr16_hap1	-0.3162648489131179	1.3176318429681942e-34	-0.38363851607876465	2.1718111533832606e-51	-0.8663	True
coding_cov	chr17_hap1	-0.22077338677885067	3.789777229672762e-18	-0.3058591125963524	4.157201435726855e-34	-0.75684	True
coding_cov	chr18_hap1	-0.34592530900035556	1.6027803312673354e-42	-0.32828355689968697	3.1594467247885283e-38	-0.66567	True
coding_cov	chr19_hap1	-0.2724865560727655	1.8862087919108599e-19	-0.29656278611532816	6.666512939676547e-23	-0.26916000000000007	True
coding_cov	chr1_hap1	-0.20538388354817438	1.3010558365890705e-42	-0.21610271902304828	4.2912950624723345e-47	-0.69552	True
coding_cov	chr20_hap1	-0.2103962156082937	2.844377619734655e-13	-0.17438969704564428	1.6355499751208753e-09	-0.69192	True
coding_cov	chr21_hap1	-0.3401465313187168	3.1298950915044404e-19	-0.2196793901619879	1.3050675829407443e-08	-0.7696099999999999	True
coding_cov	chr22_hap1	-0.3565467299328282	1.3221972359864117e-21	-0.42231499863286814	1.7270522116369332e-30	-0.86234	True
coding_cov	chr2_hap1	-0.26097201671528103	4.234221591170383e-73	-0.2534069917548868	6.843128458096297e-69	-0.72136	True
coding_cov	chr3_hap1	-0.25008508690298475	1.7276809749677908e-56	-0.25753046277291547	6.572909485041726e-60	-0.7674799999999999	True
coding_cov	chr4_hap1	-0.3896881678988752	1.832102065206422e-135	-0.35880423385326304	1.1363426636231396e-113	-0.82795	True
coding_cov	chr5_hap1	-0.3068343101076762	1.1282960242090539e-76	-0.279985109790051	1.258899664951135e-63	-0.67675	True
coding_cov	chr6_hap1	-0.26506197648807994	7.875440070462107e-55	-0.23757825626661705	4.337391250696011e-44	-0.57698	True
coding_cov	chr7_hap1	-0.11420650165974328	4.2965332984122884e-10	-0.12141749111552887	3.1393428210153586e-11	-0.73558	True
coding_cov	chr8_hap1	-0.23262115079326812	1.0487986554585759e-35	-0.23292422779022293	8.502142057680091e-36	-0.87	True
coding_cov	chr9_hap1	-0.34385347179513914	3.26014818070569e-61	-0.32956719835742315	4.319912452843606e-56	-0.749	True
coding_cov	chrX_hap1	0.0242242561791122	0.18952078779107298	-0.0011291622673117434	0.9512420988053967	0.0	False
