chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.1754451551845931	6.442345053133242e-19	0.17224718445799667	2.789292512837663e-18	0.75678
chr11_hap1	0.21586407262290863	4.130430404134038e-28	0.22590859666053592	1.0729187648778592e-30	0.69324
chr12_hap1	0.1784339237548192	6.489566975592987e-20	0.20223078209335849	3.1073119009874593e-25	0.73754
chr13_hap1	0.31388401984822384	1.4936006222386839e-44	0.26320668979210005	2.2887932745654718e-31	0.42194
chr14_hap1	0.34125942846908885	7.172710621174796e-48	0.32788140148922895	4.069092252098184e-44	0.74287
chr15_hap1	0.30201854942085055	1.1757762573791328e-33	0.35831014021233254	1.3529771968904472e-47	0.77616
chr16_hap1	0.3162627800156658	1.3190100023069076e-34	0.383638555158818	2.1717563750021446e-51	0.8663
chr17_hap1	0.22077338677885067	3.789777229672762e-18	0.3058590380013385	4.157360441717465e-34	0.75684
chr18_hap1	0.34592530900035556	1.6027803312673354e-42	0.328283548638926	3.1594608812299763e-38	0.66567
chr19_hap1	0.27248580832323377	1.886651869484451e-19	0.2965628146315655	6.666447098085341e-23	0.26916000000000007
chr1_hap1	0.20538372416520453	1.3012500072770864e-42	0.21610271076403528	4.2913301259828553e-47	0.69552
chr20_hap1	0.21039793997291067	2.8430834884050885e-13	0.17438969131913148	1.635552010591721e-09	0.69192
chr21_hap1	0.3401465313187168	3.1298950915044404e-19	0.2196793899624081	1.305067623379332e-08	0.7696099999999999
chr22_hap1	0.3565467299328282	1.3221972359864117e-21	0.42231494059972957	1.7270870118457045e-30	0.86234
chr2_hap1	0.2609725684386589	4.231180175094096e-73	0.25340700336014826	6.843028425891245e-69	0.72136
chr3_hap1	0.2500849580732552	1.7279124922353289e-56	0.2575304885910374	6.572727034014161e-60	0.7674799999999999
chr4_hap1	0.38968766463715265	1.8336835670719643e-135	0.35880421369925275	1.1363778695045226e-113	0.82795
chr5_hap1	0.306834665700573	1.1278227036021843e-76	0.2799851239999296	1.258880721755784e-63	0.67675
chr6_hap1	0.2650628170722844	7.86911613781204e-55	0.2375782576192006	4.3373862939789063e-44	0.57698
chr7_hap1	0.11420650167280813	4.296533278658141e-10	0.12141747660219424	3.139359851296912e-11	0.73558
chr8_hap1	0.23262115079326812	1.0487986554585759e-35	0.23292421061671165	8.502243259052919e-36	0.87
chr9_hap1	0.3438538091029952	3.259216295510378e-61	0.32956720606681944	4.31988568215048e-56	0.749
chrX_hap1	0.024224522898734405	0.18951591231383771	-0.0011291372678964226	0.9512431769511003	0.0
