chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap2	0.17738614324417523	2.7346346939709803e-90	0.17560070309647985	1.7181466110968498e-88	1.0
chr11_hap2	0.21524999856152474	5.223982481183325e-133	0.21893930659131178	1.1903353961815748e-137	1.0
chr12_hap2	0.189157198307585	3.970415972231615e-104	0.20015154886547998	1.3295701577882044e-116	1.0
chr13_hap2	0.24399328306617107	5.942727628039697e-129	0.23724202231363764	8.087987825056285e-122	0.4848
chr14_hap2	0.2984654028589498	5.95302924049183e-177	0.29608520363493723	4.8367752775159515e-174	1.0
chr15_hap2	0.30161578595058414	1.8453728964501347e-160	0.32650962120846966	2.8196329574221986e-189	1.0
chr16_hap2	0.32677553853501884	3.696856955086836e-178	0.3527435869731694	2.8569039277896567e-209	1.0
chr17_hap2	0.25382214281185317	5.8798178026807315e-111	0.3100879792755284	2.0890023493139907e-167	1.0
chr18_hap2	0.3267901614260392	9.253996766524305e-182	0.32500222239650745	1.098774066169198e-179	1.0
chr19_hap2	0.22506030958818818	2.7085986063523293e-62	0.2425228256400992	2.4428384031305295e-72	0.5970500000000001
chr1_hap2	0.19784062896625812	2.266819288546064e-190	0.20378416496552365	4.221860943579645e-202	1.0
chr20_hap2	0.19705104629990822	6.573830112777134e-53	0.16949234777387032	2.0890993134579195e-39	1.0
chr21_hap2	0.3415727723904638	4.515174223383398e-90	0.3318884990580382	7.631479308091357e-85	1.0
chr22_hap2	0.1934229222884146	4.5999459484339997e-29	0.24104496874789827	1.1839691959212478e-44	1.0
chr2_hap2	0.24647228274964594	0.0	0.24545748912632537	1.109188774e-314	1.0
chr3_hap2	0.25882415940408154	6.75635642557773e-294	0.2631766402021923	3.734757204266665e-304	1.0
chr4_hap2	0.3293549441927393	0.0	0.32309462817481305	0.0	1.0
chr5_hap2	0.2657546719152174	1.4367819709031994e-278	0.2520404533814174	7.65776463604696e-250	0.986
chr6_hap2	0.22465110871692287	3.965431140374809e-190	0.21663867476015866	1.2467327060226403e-176	0.8238
chr7_hap2	0.09923673354852426	5.5062344471814315e-34	0.10264072255571469	2.9945902319809986e-36	1.0
chr8_hap2	0.2200912418282743	3.287098429824322e-153	0.22026581985270255	1.8655948428648143e-153	1.0
chr9_hap2	0.2997638387269696	6.286287767317925e-224	0.29295657129406716	1.6574611877850615e-213	1.0
chrX_hap2	0.007837092410899802	0.34258832196528044	0.0032427003328761098	0.6945539703678154	0.0
