track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta	flip_recommended
coding_cov	chr10_hap1	-0.023296657968304466	0.4129862750470872	-0.017277576119335964	0.543784026886451	-0.16117499999999996	True
coding_cov	chr10_hap2	-0.03245658782405426	0.24096766653918308	-0.01876527023860352	0.4978850938893981	-0.17684	True
coding_cov	chr11_hap1	-0.014737771349004974	0.6075075611400919	-0.01143907422642802	0.6901429315634402	0.015404999999999947	False
coding_cov	chr11_hap2	-0.005002559042675389	0.8613738904905716	-0.0065601389022125435	0.8188709608804204	0.006979999999999986	False
coding_cov	chr12_hap1	0.03146463520339053	0.2763100979736504	0.05009383315853439	0.08294337589134679	0.10285999999999995	False
coding_cov	chr12_hap2	-0.06257647660084713	0.02762351641664184	-0.051864387854913	0.06800365023353426	-0.23360999999999998	True
coding_cov	chr13_hap1	-0.03213503892924652	0.3209304235681608	0.0030997642804845467	0.9237451615217902	-0.044405	True
coding_cov	chr13_hap2	0.014552800255236044	0.6504395931276519	0.028063888759723148	0.38212274800917045	0.0	False
coding_cov	chr14_hap1	-0.014342610485373527	0.6603661123079348	-0.029422838268041096	0.36728939679843864	-0.08503	True
coding_cov	chr14_hap2	0.023622185223762304	0.47206489305555155	0.02109850476751824	0.5206929649105704	-0.048350000000000004	True
coding_cov	chr15_hap1	0.018809381872749692	0.5850613603673543	-0.0013877294593543903	0.9678698580022924	0.007790000000000075	False
coding_cov	chr15_hap2	-0.1432207884448194	2.046859581714228e-05	-0.12197819440500901	0.0002915097249316834	-0.611635	True
coding_cov	chr16_hap1	-0.30811102367279136	2.933389734747185e-20	-0.23650024597183833	2.4725490122597386e-12	-0.63557	True
coding_cov	chr16_hap2	0.006971567168186046	0.8418115168421391	0.02489571857103977	0.47597073226494074	0.08933999999999997	False
coding_cov	chr17_hap1	-0.12074878014361896	0.0009436789279620134	-0.07248482871792027	0.04765943582766454	-0.16186500000000004	True
coding_cov	chr17_hap2	-0.026651798817637764	0.46642141874564536	-0.03865308472253105	0.2907487865706584	-0.03685999999999989	True
coding_cov	chr18_hap1	-0.0014108669287618573	0.9702553432873675	-0.01036925853735331	0.7840399741893043	-0.20455	True
coding_cov	chr18_hap2	-0.0651782532091438	0.0846284371508751	-0.05362638886836134	0.15609713720184654	-0.31665000000000004	True
coding_cov	chr19_hap1	-0.2260098361278986	4.520696863140917e-08	-0.1504488373727873	0.00030141221094451016	-0.28342000000000006	True
coding_cov	chr19_hap2	-0.24140203813625655	2.6102270162910792e-09	-0.19258680511330112	2.310294497193738e-06	-0.21862000000000004	True
