chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.14083755677749	8.441221226788869e-113	0.13934572796436903	1.928289187252473e-110	1.0
chr11_hap1	0.2093572705593459	1.258898723873641e-250	0.20485469670883183	8.009550452320573e-240	1.0
chr12_hap1	0.17295246069354553	2.6528503832006027e-172	0.17746514328426397	1.898427852914812e-181	1.0
chr13_hap1	0.22226693725883923	1.0518450815737115e-210	0.21722665912809788	4.0337340454436336e-201	0.0
chr14_hap1	0.27026589260010264	1.292224009291613e-285	0.264134318231803	1.9878749878921355e-272	1.0
chr15_hap1	0.25194091309686717	9.197572204738693e-221	0.2616516698124578	1.4480091510600703e-238	1.0
chr16_hap1	0.30094014055043056	2.557096446176144e-298	0.3198889590625462	0.0	1.0
chr17_hap1	0.19007846764763314	2.9681973879646605e-123	0.22496293380111565	4.0564078212302304e-173	1.0
chr18_hap1	0.2748078313117422	1.0182679162390346e-251	0.27166662419870535	8.020667143045612e-246	1.0
chr19_hap1	0.23285852776708796	2.1588343793625553e-132	0.24582084350164574	8.712565049913744e-148	1.0
chr1_hap1	0.1868984638483511	0.0	0.1856469792902861	0.0	1.0
chr20_hap1	0.15906331106190405	8.436163981561472e-68	0.1369855907703459	1.3628401336042047e-50	1.0
chr21_hap1	0.3453111385406264	9.428790789341497e-183	0.3336324701208616	5.35610777793004e-170	1.0
chr22_hap1	0.26733802190676637	3.951026825395386e-112	0.31710681811108143	2.1204427951357068e-159	1.0
chr2_hap1	0.20923723538094166	0.0	0.20713267211694325	0.0	1.0
chr3_hap1	0.21615321165311555	0.0	0.21656921626043218	0.0	1.0
chr4_hap1	0.12945235554000573	1.965659407736951e-138	0.10904686921806306	1.454387823014726e-98	0.24480000000000002
chr5_hap1	0.15489362127423484	4.0754468536397625e-185	0.1433335232895583	1.5504130561497226e-158	0.858
chr6_hap1	0.21068938877838408	0.0	0.20387570494142315	4.7172570676593e-310	0.911
chr7_hap1	0.10390113377113395	3.741193307999693e-72	0.10642327163130084	1.2579248372171197e-75	1.0
chr8_hap1	0.22145960315219462	3.6768915499169556e-308	0.22097895237195037	8.433217947930877e-307	1.0
chr9_hap1	0.2817655009488897	0.0	0.2774223565959767	0.0	1.0
chrX_hap1	0.01148646587547596	0.049312616509608	0.006844717982581881	0.2414256730405627	0.0
