chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap2	0.18129014207685518	4.421247655090184e-48	0.18179905071258848	2.4031607876284108e-48	0.99955
chr11_hap2	0.21187348872759335	2.4100419666308983e-65	0.22410108319270472	4.4147697135128846e-73	0.8585
chr12_hap2	0.1878440946821185	2.5117710909613183e-52	0.2066743020690649	3.3881650876793485e-63	0.95595
chr13_hap2	0.27134198313468194	7.571888260013544e-81	0.2583562603451147	3.2957577062553677e-73	0.5459
chr14_hap2	0.3174888818109071	1.8148000051310972e-101	0.31691992257391544	4.312998173351913e-101	0.9902500000000001
chr15_hap2	0.2959940037135572	3.6392676751520165e-78	0.3399562697920735	4.773499581258836e-104	1.0
chr16_hap2	0.32321911125058067	7.26761728606834e-88	0.3682442170157345	2.0219179771026317e-115	1.0
chr17_hap2	0.24872107513677294	4.444150057342412e-54	0.3243622544264368	9.082592663458995e-93	0.960775
chr18_hap2	0.33952801926523646	1.2896030636802881e-99	0.33372265136055	4.226718325238056e-96	1.0
chr19_hap2	0.23677351200522734	3.76429556494055e-35	0.25522895590360806	9.440567462329696e-41	0.41040000000000004
chr1_hap2	0.19724202677700317	1.6845570053368495e-95	0.21181286267833108	3.625068968805552e-110	0.86575
chr20_hap2	0.20711144201405352	4.5429115959803554e-30	0.18151850039319298	2.2955685134243464e-23	0.8754
chr21_hap2	0.2612144240617092	6.071765903302071e-27	0.1733590960592341	1.6381246182839039e-12	0.5613999999999999
chr22_hap2	0.20437496785649087	6.484358799601876e-17	0.27022410483113374	8.063213911838277e-29	0.9085
chr2_hap2	0.2575674032304812	6.155122292512681e-175	0.25505385190228996	1.830313676517997e-171	0.971675
chr3_hap2	0.26292346512622844	4.0064548852966983e-153	0.27086618384041117	9.429471239012706e-163	1.0
chr4_hap2	0.3560714562273983	1.6650974117480782e-276	0.34054877783024673	1.3406111177613888e-251	1.0
chr5_hap2	0.2792704081813671	1.9652796542086687e-155	0.2638533797444392	2.3653537661231964e-138	0.8124750000000001
chr6_hap2	0.23460008483457143	7.973589372508663e-105	0.22295943831022919	1.3103869901920351e-94	0.6622
chr7_hap2	0.09991221518221921	5.240484611935227e-18	0.10760857591189552	1.186305896574818e-20	0.911125
chr8_hap2	0.2233795605224749	6.021489590906501e-80	0.22233959218218724	3.338502214916832e-79	1.0
chr9_hap2	0.3163785350281181	3.5003746110398115e-126	0.3093621389861223	1.8860234838757187e-120	0.965125
chrX_hap2	0.007440462222684928	0.5238101449014796	-0.0031361007256912998	0.7881671100184653	0.0
