chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap2	0.158587516733382	6.12367125220362e-143	0.15852501108320377	7.934211671554082e-143	1.0
chr11_hap2	0.2189176122946598	1.939725041716919e-274	0.21663446875170708	1.1900519162722776e-268	1.0
chr12_hap2	0.18636829595708387	3.976882470890387e-200	0.1931693572921828	3.9737949448293556e-215	1.0
chr13_hap2	0.22159764541641752	2.5762058677060386e-210	0.21837407364698355	3.751742499965679e-204	0.29400000000000004
chr14_hap2	0.27835969633727153	7.719362354227217e-305	0.27486254033800817	5.6185460797736596e-297	1.0
chr15_hap2	0.26986917889963	1.4653435270486595e-253	0.2809617560086462	1.523550850747652e-275	1.0
chr16_hap2	0.3158563092990927	0.0	0.3325638152984647	0.0	1.0
chr17_hap2	0.24690248296485814	2.5934991587716006e-208	0.2841175820881148	4.904080633047411e-278	1.0
chr18_hap2	0.29459804744134743	2.3179230608414894e-290	0.2944102355570553	5.61831217323512e-290	1.0
chr19_hap2	0.2350798589593458	7.263344023602049e-135	0.24322409219733784	1.60313947412541e-144	0.7795
chr1_hap2	0.1992146266587029	0.0	0.20035700340869547	0.0	1.0
chr20_hap2	0.17434462572572298	1.8255537518772635e-81	0.1555982224040621	4.563819200494831e-65	1.0
chr21_hap2	0.3519785822172852	3.3836140222924633e-190	0.3424349772022181	1.7710339460089954e-179	1.0
chr22_hap2	0.19018451132610034	1.2980308120614055e-54	0.22027700795003338	4.3119608369138457e-73	1.0
chr2_hap2	0.2199874563181057	0.0	0.2214358020267489	0.0	1.0
chr3_hap2	0.240683733710256	0.0	0.24186167716744797	0.0	1.0
chr4_hap2	0.1377915925348153	1.0053910294919277e-156	0.11850715528480404	3.685890796864878e-116	0.4592
chr5_hap2	0.1666052662482508	2.502204224397416e-214	0.15586311635258496	1.635389988709557e-187	1.0
chr6_hap2	0.21145799822856887	0.0	0.2048014111654286	4.99963086855e-313	1.0
chr7_hap2	0.09370292909555876	2.4179312041586915e-59	0.09756952069356609	3.27937015922311e-64	1.0
chr8_hap2	0.21684569397039874	6.543033651699359e-295	0.2176252016648218	4.522456569757323e-297	1.0
chr9_hap2	0.286784479031616	0.0	0.2821281479944471	0.0	1.0
chrX_hap2	0.007106502931250367	0.22398251199711328	0.0036587990229937813	0.5312770409634856	0.0
