chrom	spearman_rho	spearman_p	pearson_r	pearson_p	delta
chr10_hap1	0.18455975009477746	3.8594017778254325e-11	0.18058777664144005	1.0148469595783353e-10	0.67739
chr11_hap1	0.23383983644105386	3.106920664743357e-17	0.24102141263941934	3.050978605208867e-18	0.644945
chr12_hap1	0.19095211242911317	4.577151306401959e-12	0.21533451516114605	5.219258382432467e-15	0.69262
chr13_hap1	0.3496678655572319	1.275921549511196e-28	0.2800452972012474	1.593367508048237e-18	0.475555
chr14_hap1	0.3510307100944628	3.6188601795387235e-26	0.3468514758564675	1.506928312863345e-25	0.66976
chr15_hap1	0.31341030403354514	5.766930934735629e-19	0.37888592943595045	1.2643076592663752e-27	0.754845
chr16_hap1	0.3311707833074302	9.217554240284246e-20	0.4070494155739924	6.54588466746025e-30	0.78918
chr17_hap1	0.23891997118402164	2.6686904188969825e-11	0.3356197799477061	2.0602052850622253e-21	0.688895
chr18_hap1	0.3800667112665398	1.3246255743694179e-26	0.34704419664830727	3.5835373785749197e-22	0.60933
chr19_hap1	0.32596579776241125	1.3841072205674867e-14	0.348844120728473	1.3025569265237172e-16	0.30994999999999995
chr1_hap1	0.22170263982517383	1.363371910249901e-25	0.23183676648196624	6.796306788659131e-28	0.66395
chr20_hap1	0.2092264258517662	2.85855786836562e-07	0.18758878694890088	4.399816049050593e-06	0.58469
chr21_hap1	0.36218943891230343	1.3278731464783814e-11	0.224354260090529	4.1296660042163814e-05	0.83691
chr22_hap1	0.3891673953834026	1.2455918190551588e-13	0.468503445467346	8.645615909226018e-20	0.819585
chr2_hap1	0.2784673237147767	1.5121524815613605e-42	0.269292905081926	8.439749720279142e-40	0.66232
chr3_hap1	0.2585202074747641	4.875479943265416e-31	0.27151379692964694	3.506080578705035e-34	0.72489
chr4_hap1	0.4218544325183759	2.5434603685278336e-81	0.37965894561409586	5.657629452700395e-65	0.74876
chr5_hap1	0.33140995649137855	7.085966622837653e-46	0.29861220518758813	3.5940147975829017e-37	0.65045
chr6_hap1	0.28980628708244915	1.030901248881038e-33	0.2527080927413534	8.978534295641822e-26	0.53896
chr7_hap1	0.11141324444731233	1.6617555482441847e-05	0.12801095884781405	7.324748768844829e-07	0.6332749999999999
chr8_hap1	0.24538215181202325	1.5058510134440285e-20	0.24631618969857672	1.0678822993183313e-20	0.77549
chr9_hap1	0.36896760053356026	2.5113527054624107e-36	0.3518101201115731	5.794854257394194e-33	0.70706
chrX_hap1	0.04401868721298172	0.09158719645865115	0.0016492062757980479	0.9496249406793682	0.036955
