track	chrom	spearman_rho	spearman_p	pearson_r	pearson_p
gc	chr10_hap1	0.04281931795067743	0.005949558669082428	0.05119197477227273	0.0010053539290492465
gc	chr10_hap2	-0.06471959935445151	1.6877267103558477e-05	-0.06461758865942406	1.7402760006579717e-05
gc	chr11_hap1	-0.17415623054269638	7.777423580052693e-30	-0.18464997030669245	2.159901555822024e-33
gc	chr11_hap2	-0.17929327563640174	1.2343715668218572e-31	-0.19610012796916215	1.258167054207733e-37
gc	chr12_hap1	-0.1422585220952543	4.577531493976689e-19	-0.1471911341771286	2.5886733467790422e-20
gc	chr12_hap2	-0.1367895878956665	4.074400231578536e-19	-0.14168730701286383	2.081993359040629e-20
gc	chr13_hap1	-0.20566239593842936	1.764991072573869e-31	-0.2016626981744809	2.6233790710476617e-30
gc	chr13_hap2	-0.2217934332598803	1.2098894013297965e-35	-0.20793534739909797	1.9273523583009153e-31
gc	chr14_hap1	-0.14939837747990892	2.4739319783838287e-17	-0.14327188903347454	4.737278732545037e-16
gc	chr14_hap2	-0.06894752288902369	0.00012303492240833954	-0.06553466701217053	0.0002627501585862848
gc	chr15_hap1	0.017281894346753472	0.36787078346275015	0.02076952288510642	0.27915175408449705
gc	chr15_hap2	-0.04001516191005563	0.03212237572662448	-0.024245978129124574	0.19425747938859203
gc	chr16_hap1	0.03701387262906328	0.061595044831365776	0.042370638689213945	0.03235929400804714
gc	chr16_hap2	0.02937090427181134	0.12476322689464904	0.034956995503253686	0.06766853157907475
gc	chr17_hap1	-0.044691782368810294	0.026281511642691574	-0.04486759606269525	0.025695930231426543
gc	chr17_hap2	-0.02525412375965002	0.20721347402961593	-0.021585112338891845	0.2810439019223933
gc	chr18_hap1	-0.0006927208007495263	0.9740359740235575	0.0001495124298664125	0.994395147945237
gc	chr18_hap2	0.05645443545912995	0.007912594711647764	0.03856821317630041	0.06974149825698328
gc	chr19_hap1	-0.02814396330928065	0.19604964044356604	-0.026146285272000944	0.2297179401874458
gc	chr19_hap2	-0.05358924498832038	0.013464319167415932	-0.03784869680618529	0.08102874856477842
gc	chr1_hap1	-0.05997762327941999	1.8529426832086198e-06	-0.07105318225778681	1.5904174805573408e-08
gc	chr1_hap2	-0.05595137075993713	8.631477819776666e-06	-0.06581923140891155	1.6489838304070124e-07
gc	chr20_hap1	0.05806309108547031	0.010813599572620671	0.06511882052738187	0.004249813357001108
gc	chr20_hap2	-0.07702256271853591	0.0008044682879572598	-0.07592016033839827	0.0009560614400149683
gc	chr21_hap1	-0.1577878420807403	4.4248354625808674e-09	-0.133381909218451	7.385011931921886e-07
gc	chr21_hap2	-0.07908070143398441	0.005735484309015894	-0.013166831910722503	0.6460493132813026
gc	chr22_hap1	-0.06570168762521797	0.015415969704371644	-0.0681596151559217	0.011961125155114213
gc	chr22_hap2	-0.011027115536189496	0.6507429922884409	-0.015599372164014653	0.5218679112916351
gc	chr2_hap1	0.04325252545577319	0.0003294260580490912	0.04569051028311331	0.00014847561081220834
gc	chr2_hap2	0.04136658572342609	0.0005941443798793615	0.04523005599402817	0.00017310962927711507
gc	chr3_hap1	-0.12245311205902876	1.6891356263074133e-20	-0.11428070790314762	4.853802343575073e-18
gc	chr3_hap2	-0.12409540345085786	4.627158897548191e-21	-0.13571502338358105	6.551310953806528e-25
gc	chr4_hap1	-0.12634918809302834	3.407099231163491e-21	-0.14256362428369274	1.3487942382990025e-26
gc	chr4_hap2	-0.14130166553413634	1.8113788662855574e-27	-0.14190173598170389	1.086464537512817e-27
gc	chr5_hap1	-0.1309107963295658	3.1105749539418643e-22	-0.139666658447114	4.1153696960196335e-25
gc	chr5_hap2	-0.14515523416619094	5.75036744232031e-27	-0.15555190914754852	9.087449294489856e-31
gc	chr6_hap1	0.05618714215142064	3.850859479010313e-05	0.07024585008645269	2.626036486120895e-07
gc	chr6_hap2	0.06915211002334797	4.339147685675408e-07	0.08286378861080645	1.3728875832305106e-09
gc	chr7_hap1	-0.108818840699594	1.1386272254656475e-13	-0.11642472373277471	1.9254424891470425e-15
gc	chr7_hap2	-0.1382101444614298	6.1852242107184624e-21	-0.14680500576330263	1.926803419527956e-23
gc	chr8_hap1	0.04905493369865824	0.001729401597701972	0.07838057817523873	5.418047908923742e-07
gc	chr8_hap2	0.035946737131466275	0.02170055248164009	0.07387728235228426	2.326724720796798e-06
gc	chr9_hap1	-0.12104893088997759	1.7585206817548005e-15	-0.15664171306037616	5.550984378948222e-25
gc	chr9_hap2	-0.09925301276999816	5.175838712518647e-11	-0.14590309084273073	3.6748596872127343e-22
gc	chrX_hap1	-0.08088019502818376	0.0004186830512794846	-0.06884375468254532	0.002685417377115208
gc	chrX_hap2	-0.14840043934975417	3.9866845952983276e-14	-0.11681480201053226	2.8605189657212086e-09
